============================================================
====== CONTENTS OF: backtest_2025-08-13_15-15-55.txt ======
============================================================

===== BACKTEST REPORT FOR: signals_2025-08-13_20-45-55.json =====
Signal Generation Time (UTC): 2025-08-13 15:15:55

--- BUY SIGNALS ---
        Coin Signal  POP  EMA_Boost_Applied      Outcome  Duration(min)  MaxProfitPrice  MaxDrawdownPrice Did_TP_Hit_Later
====== CONTENTS OF: backtest_2025-08-13_16-47-50.txt ======
============================================================

===== BACKTEST REPORT FOR: signals_2025-08-13_22-17-50.json =====
Signal Generation Time (UTC): 2025-08-13 16:47:50

--- BUY SIGNALS ---
        Coin Signal  POP  EMA_Boost_Applied      Outcome  Duration(min)  MaxProfitPrice  MaxDrawdownPrice Did_TP_Hit_Later
     ETHUSDT    Buy   60              False      Success           37.0     4752.540000       4683.000000               No
     BTCUSDT    Buy   60              False      Success           34.0   122567.800000     121250.300000               No
     SOLUSDT    Buy   60              False      Success           40.0      201.450000        197.650000               No
     XRPUSDT    Buy   60              False      Success           40.0        3.281200          3.243500               No
FARTCOINUSDT    Buy   60              False      Success           83.0        1.110300          1.056600               No
    DOGEUSDT    Buy   60              False      Success           29.0        0.243900          0.240280               No
     ENAUSDT    Buy   60              False         Fail          109.0        0.789000          0.765700               No
1000PEPEUSDT    Buy   60              False      Success           27.0        0.012280          0.012013               No
     SUIUSDT    Buy   60              False      Success           37.0        4.006700          3.940100               No
    LINKUSDT    Buy   60              False      Success           21.0       23.931000         23.525000               No
     ADAUSDT    Buy   60              False      Success           85.0        0.884800          0.866400               No
     BNBUSDT    Buy   60              False         Fail           94.0      846.660000        838.010000               No
     LTCUSDT    Buy   67              False         Fail          110.0      130.400000        128.880000               No
    PUMPUSDT    Buy   60              False      Success           29.0        0.003950          0.003824               No
     UNIUSDT    Buy   60              False         Fail          109.0       12.104000         11.893000               No
     ARBUSDT    Buy   75              False      Success           57.0        0.560600          0.542300               No
     WIFUSDT    Buy   60              False         Fail          109.0        1.041000          1.017100               No
   PENGUUSDT    Buy   60              False      Success           67.0        0.037578          0.036605               No
     SKLUSDT    Buy   60              False      Success            8.0        0.030250          0.028340               No
    AVAXUSDT    Buy   60              False      Success          153.0       25.345000         24.994000               No
   TRUMPUSDT    Buy   60              False         Fail          110.0        9.629000          9.440000               No
   CYBERUSDT    Buy   60              False      Success           63.0        2.901000          2.847000               No
1000BONKUSDT    Buy   60              False      Success           29.0        0.027761          0.026081               No
    AAVEUSDT    Buy   60              False Inconclusive            NaN      328.200000        323.440000               No
    HYPEUSDT    Buy   60              False      Success           11.0       47.497000         45.812000               No
   PROVEUSDT    Buy   60              False      Success           26.0        1.496000          1.450100               No
