===== BACKTEST REPORT FOR: signals_2025-08-20_21-10-32.json =====
Signal Generation Time (UTC): 2025-08-20 15:40:32

--- STRONG BUY SIGNALS ---
(None)

--- BUY SIGNALS ---
  Coin             Signal           Confidence       POP              Outcome          Duration(min)    MaxProfitPrice   MaxDrawdownPrice  Did_TP_Hit_Later  Buy_Score        Sell_Score       Base_Score_OK    Num_Conf         Confluence_OK    Vol_Profile_OK   Min_Profit_OK    Profit_Ceiling_OK  Regime           RegimeScore      MACD_Hist        ADX15m           RSI              CCI              %B               Overshoot_OK     BB_Touch         RSI_Extreme      CCI_Extreme      Initial_Signal   Aligned          Vetoes_Passed    Downgrade_Reason
  VINEUSDT         Sell             31               89               Fail             26               0.067860         0.071970         No               -5               40               True             1                False            False            False            True             Neutral          -1               0.000164         15.862804        66.810143        128.331504       0.852000         False            False            False            True             Sell             False            base_ok          N/A            
  ETHFIUSDT        Sell             44               90               Success          13               1.090600         1.124200         Yes              -5               45               True             2                True             False            False            True             Neutral          -1               0.002610         15.862804        70.498593        99.415808        0.800100         False            False            True             False            Sell             False            base_ok          N/A            
  ZORAUSDT         Sell             42               89               Success          14               0.089470         0.094500         Yes              -5               40               True             1                False            True             True             True             Neutral          -1               0.000539         15.862804        68.236308        112.072741       0.846100         False            False            False            True             Sell             False            base_ok,vol_ok,profit_window  N/A            
  TAOUSDT          Sell             27               86               Success          13               345.240000       352.330000       Yes              -5               30               True             1                False            False            False            True             Neutral          -1               0.589736         15.862804        66.766370        99.581026        0.800900         False            False            False            False            Sell             False            base_ok          N/A            
  HYPERUSDT        Sell             53               92               Success          12               0.360600         0.375400         Yes              -5               55               True             2                True             False            True             True             Neutral          -1               0.001817         15.862804        76.148879        128.752284       0.907900         True             False            True             True             Sell             False            base_ok,profit_window  N/A            
  VIRTUALUSDT      Sell             47               92               Fail             23               1.222500         1.305200         No               -5               55               True             2                True             False            False            True             Neutral          -1               0.004058         15.862804        72.450802        103.180842       0.813400         True             False            True             True             Sell             False            base_ok          N/A            
  EPICUSDT         Sell             53               92               Fail             11               3.020400         3.222000         Yes              -5               55               True             2                True             False            True             True             Neutral          -1               0.018564         15.862804        82.481855        151.922185       0.937700         True             False            True             True             Sell             False            base_ok,profit_window  N/A            
  SPKUSDT          Sell             18               80               Success          16               0.075410         0.077140         Yes              -5               20               False            1                False            False            False            True             Neutral          -1               0.000077         15.862804        55.790424        44.158580        0.636600         False            False            False            False            Sell             False                             N/A            
  USELESSUSDT      Sell             53               92               Fail             36               0.284800         0.301900         Yes              -5               55               True             2                True             False            True             True             Neutral          -1               0.001287         15.862804        71.716273        131.960084       0.869400         False            False            True             True             Sell             False            base_ok,profit_window  N/A            
  KERNELUSDT       Sell             36               89               Success          2                0.218000         0.230700         Yes              -5               40               True             1                False            False            True             True             Neutral          -1               0.000339         15.862804        69.884612        114.713217       0.860700         False            False            False            True             Sell             False            base_ok,profit_window  N/A            

